City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
210,tiznit,0,MA,1521997030,73,29.7,-9.73,65.37,11.27
211,tarakan,80,ID,1521997030,100,3.3,117.63,75.58,5.39
212,ouallam,8,NE,1521997031,24,14.32,2.08,86.65,2.89
213,moree,80,AU,1521997031,72,-29.46,149.84,70.32,10.27
214,svetlogorsk,40,RU,1521995400,78,53.14,59.15,15.8,6.71
215,sembakung,88,ID,1521996735,100,3.82,117.25,72.25,2.89
216,fort-shevchenko,0,KZ,1521997031,96,44.51,50.26,40.62,10.94
217,atar,12,MR,1521997008,12,20.52,-13.05,87.73,6.62
218,east london,0,ZA,1521993600,82,-33.02,27.91,64.4,11.41
219,bonthe,36,SL,1521996892,63,7.53,-12.5,86.92,5.57
220,kualakapuas,100,ID,1521997032,100,-3.01,114.39,73.47,3.22
221,lander,1,US,1521996780,55,42.83,-108.73,37.4,12.39
222,urman,0,UA,1521997032,81,49.57,24.95,30.85,9.15
223,egvekinot,76,RU,1521997033,92,66.32,-179.17,23.79,5.73
224,ebensee,0,DE,1521994800,43,49.47,11.14,53.6,4.7
225,hashtrud,56,IR,1521996932,81,37.48,47.05,46.33,14.97
226,tiksi,0,RU,1521996545,61,71.64,128.87,-13.39,2.77
227,myitkyina,20,MM,1521996908,82,25.38,97.4,67.84,0.81
228,mahebourg,40,MU,1521993600,78,-20.41,57.7,80.6,8.05
229,sorong,12,ID,1521997033,100,-0.86,131.25,81.07,7.85
230,khandyga,0,RU,1521997034,53,62.65,135.58,-4.7,2.71
231,khanu woralaksaburi,64,TH,1521997034,93,16.06,99.86,75.27,2.82
232,painesville,1,US,1521995700,99,41.72,-81.25,35.6,16.11
233,port arthur,75,US,1521995700,78,29.9,-93.93,80.6,9.17
234,herveo,75,CO,1521993600,77,5.08,-75.18,77.0,11.41
235,goroka,92,PG,1521997035,100,-6.07,145.39,59.79,1.99
236,port elizabeth,90,US,1521996060,80,39.31,-74.98,46.4,9.17
237,kirakira,88,SB,1521996826,100,-10.46,161.92,80.98,14.45
238,capelinha,12,BR,1521997035,84,-17.69,-42.52,76.48,9.26
239,coquimbo,0,CL,1521993600,77,-29.95,-71.34,62.6,11.41
240,fort payne,90,US,1521995700,87,34.44,-85.72,59.0,5.82
241,ayagoz,64,KZ,1521997035,55,47.96,80.43,54.39,19.37
242,huarmey,24,PE,1521997036,56,-10.07,-78.15,78.42,3.83
243,codrington,48,AU,1521996841,96,-28.95,153.24,62.49,2.55
244,manado,40,ID,1521993600,100,1.49,124.85,75.2,1.12
245,tongliao,0,CN,1521997036,52,43.61,122.27,44.35,2.77
246,provideniya,68,RU,1521996807,100,64.42,-173.23,24.15,19.93
247,cabo san lucas,75,MX,1521992760,25,22.89,-109.91,84.2,11.41
248,marystown,48,CA,1521996958,89,47.17,-55.16,32.79,29.66
249,usinsk,76,RU,1521997037,86,66.0,57.56,14.65,8.08
250,pisco,0,PE,1521993600,73,-13.71,-76.2,77.0,6.93
251,taoudenni,0,ML,1521997037,15,22.68,-3.98,84.67,10.6
252,perigueux,90,FR,1521995400,87,45.18,0.72,51.8,5.82
253,jangipur,0,IN,1521997037,80,24.46,88.11,73.74,2.82
254,sitka,0,US,1521996806,56,37.17,-99.65,60.15,19.44
255,lodja,32,CD,1521997037,87,-3.52,23.6,77.74,2.04
